	text	sentiment
0	Last session of the day  http://twitpic.com/67ezh	0
1	 Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).	1
2	Recession hit Veronique Branquinho, she has to quit her company, such a shame!	0
3	 happy bday!	1
4	 http://twitpic.com/4w75p - I like it!!	1
5	 that`s great!! weee!! visitors!	1
6	I THINK EVERYONE HATES ME ON HERE   lol	0
7	 soooooo wish i could, but im in school and myspace is completely blocked	0
8	 and within a short time of the last clue all of them	0
9	 What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!	0
10	My bike was put on hold...should have known that.... argh total bummer	0
11	 I checked.  We didn`t win	0
12	 .. and you`re on twitter! Did the tavern bore you that much?	0
13	I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics	0
14	Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(	0
15	So hot today =_=  don`t like it and i hate my new timetable, having such a bad week	0
16	 Miss you	0
17	Cramps . . .	0
18	 you guys didn`t say hi or answer my questions yesterday  but nice songs.	1
19	I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.	0
20	Stupid storm. No river for us tonight	0
21	My dead grandpa pays more attention to me than you do	0
22	... need retail therapy, bad. AHHH.....gimme money geebus	0
23	about to go to sleep	0
24	 you are lame  go make me breakfast!!	0
25	 thats so cool	1
26	hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)	0
27	Huh, another ScarePoint coding Sunday	0
28	 look who I found just for you  --->  http://twitter.com/DJT2009	1
29	No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day	0
30	 guess that depends on if you want to be on the jury	0
31	resorted to eating Mickey Ds ALONE.	0
32	There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world	0
33	 did he ask for your Twitter ID? Your sun sign?	0
34	 where`d you go!	0
35	Watching Body of Lies...good film	1
36	Happy mothers day mumm  xoxo	1
